,description_short,adress,zip_code,price_cold,price_warm,rooms,area,yearbuild,url
103,3-Zimmer-Wohnung renoviert mit Einbauküche (Option),10555 Berlin,10555,1050.0,1310.0,3.0,76.27,1981,https://www.immonet.de/angebot/41640045
104,geräumige Wohnung mit Balkon neuer Bewohner gesucht,Selma-Lagerlöf-Ring 1  14822 Borkwalde,14822,720.0,940.0,4.0,95.13,1994,https://www.immonet.de/angebot/41663084
105,"Luxuriös Wohnen im Grandaire inkl Indoor-Spielflächen, gemeinschaftlichem Dachgarten uvm",Voltairestraße 11  10179 Berlin,10179,1648.58,NaN,3.0,72.47,2017,https://www.immonet.de/angebot/41625362
106,Erstbezug nach Sanierung- Ruhiges Wohnen im Grünen,14195 Berlin,14195,1424.0,1804.0,2.0,89.0,1967,https://www.immonet.de/angebot/40647913
107,Wohn-WG in Berlin-Weißensee,13086 Berlin,13086,350.0,400.0,NA,NA,NA,https://www.immonet.de/angebot/39986815
108,ruhige Wohnung mit Blick ins Grüne,Neubauernstr. 2  15745 Wildau,15745,936.99,1172.17,2.0,74.07,2020,https://www.immonet.de/angebot/40380223
109,Wunderschöne 3-Zimmer-Wohnung mit zwei Terrassen am Templiner See,Luisenhof 26  14473 Potsdam,14473,1130.0,1380.0,3.0,82.27,2015,https://www.immonet.de/angebot/41654154
110,"Sonnige Whg mit GARTEN im grünen Strausberg! **Besichtigung: So,  2308 // 14:00 Uhr**",Fritz-Reuter-Str. 8  15344 Strausberg,15344,987.0,1351.0,3.0,94.0,2019,https://www.immonet.de/angebot/41137850
111,"ZUHAUSE FÜR PÄRCHEN MIT GYM: 2-Zimmer-Neubau-Whg im Berliner Stadtquartier ""SÜDKREUZ""",Quartiersweg 5  10829 Berlin,10829,859.92,995.19,2.0,48.31,2020,https://www.immonet.de/angebot/41406143
112,neues Wohnen in NAUEN - 2 Zimmer Erdgeschoss mit Terrasse und Garten,Bauernfeldallee 2  14641 Nauen,14641,599.0,782.0,2.0,65.31,2019,https://www.immonet.de/angebot/40536563
113,möbliertes Penthouse mit Blick auf den Fernsehturm im Herzen von Mitte,Invalidenstrasse 1  10115 Berlin,10115,4416.4,4747.6,3.0,110.41,2018,https://www.immonet.de/angebot/39420812
114,Schöne Studentenwohnung mit Balkon!,Kastanienallee 82  12627 Berlin,12627,449.0,541.0,1.0,35.69,1985,https://www.immonet.de/angebot/41476147
115,Im sanierten Altbau glücklich werden!,Bismarckstraße 80  10627 Berlin,10627,1336.82,1574.26,3.0,87.58,NA,https://www.immonet.de/angebot/41595396
116,MAX & MARIA! Dein neues Zuhause in der CIty West!,14199 Berlin,14199,1040.0,1261.0,2.0,65.48,2020,https://www.immonet.de/angebot/41592885
117,LOFTFEELING - UNEINSEHBARE TERRASSE MIT RUND-UM-BLICK,10625 Berlin,10625,2750.0,2910.0,1.5,110.0,NA,https://www.immonet.de/angebot/41361236
118,Exklusives Cityapartment im Sony Center Berlin!,Potsdamer Straße WE 11. 09 4  10785 Berlin,10785,1500.0,1840.0,2.0,85.0,2000,https://www.immonet.de/angebot/41169242
119,Helle Dachgeschosswohnung in repräsentativem Altbau,Albert-Gottheiner-Straße 6  16540 Hohen Neuendorf,16540,1100.0,1250.0,3.0,100.0,NA,https://www.immonet.de/angebot/41467983
120,3 Zimmer  Dachgeschoss-Wohnung am S-Bahnhof Röntgental,Heinestraße 93  16341 Panketal,16341,1280.0,1510.0,3.0,106.0,2019,https://www.immonet.de/angebot/41464105
121,2-Zimmer mit Wasserblick,Kleine Münzenstraße 5  14776 Brandenburg,14776,570.0,700.0,2.0,63.75,NA,https://www.immonet.de/angebot/41566685
122,EINZEL- und ONLINEBESICHTIGUNGEN möglich! Familienfreundliche 4-Zimmerwohnung in den Sonnenhöfen,Aldebaranstraße 2  12529 Schönefeld,12529,999.0,1290.0,4.0,90.94,2020,https://www.immonet.de/angebot/41222292
123,Grandaire: Großzügige 2-Zimmer-Wohnung im Herzen Berlins,Voltairestraße 11  10179 Berlin,10179,1165.95,NaN,2.0,68.59,2017,https://www.immonet.de/angebot/40187861
124,"2-Zimmer-Apartment mit smartem Grundriss, hochwertiger Ausstattung und Wasserblick mitten in Berlin",Bachstraße 1  10555 Berlin,10555,1110.0,1629.0,2.0,57.0,NA,https://www.immonet.de/angebot/40572501
125,Traumhaft Wohnen  *2 Balkone - 3 ZiWhg - EBK *,Heidestraße 19  10557 Berlin,10557,1809.22,2097.16,3.0,95.98,2019,https://www.immonet.de/angebot/41477961
