base_rent,qm,plz,rent_per_qm,data_set
1790.00,113.00,12163,15.84,immonet
1220.00,73.89,14548,16.51,immonet
3121.89,143.54,10179,21.75,immonet
739.00,78.24,13158,9.45,immonet
489.42,58.51,13507,8.36,immonet
1789.00,176.98,10787,10.11,immonet
650.00,49.00,12526,13.27,immonet
970.00,96.28,16761,10.07,immonet
559.00,43.00,12555,13.00,immonet
1200.00,120.00,16515,10.00,immonet
936.00,80.00,15344,11.70,immonet
949.00,89.74,13127,10.57,immonet
1195.00,99.63,16348,11.99,immonet
627.34,44.81,15831,14.00,immonet
352.00,57.70,14641,6.10,immonet
869.00,73.79,12529,11.78,immonet
2145.00,143.00,13359,15.00,immonet
1475.00,76.79,10249,19.21,immonet
510.00,68.12,14822,7.49,immonet
856.04,26.79,10557,31.95,immonet
1369.00,53.90,10179,25.40,immonet
1023.91,83.38,15745,12.28,immonet
1000.00,53.70,10707,18.62,immonet
1123.20,35.10,10249,32.00,immonet
1944.38,127.50,12439,15.25,immonet
790.65,29.87,10557,26.47,immonet
950.00,47.63,10557,19.95,immonet
780.00,39.00,10711,20.00,immonet
1590.00,68.50,10179,23.21,immonet
1623.05,109.00,14165,14.89,immonet
1875.00,126.78,10557,14.79,immonet
2900.00,152.00,14195,19.08,immonet
1378.72,98.48,12347,14.00,immonet
1132.34,62.00,12247,18.26,immonet
1080.00,97.96,13629,11.02,immonet
904.50,67.00,12526,13.50,immonet
1000.00,96.00,14656,10.42,immonet
1249.00,31.07,14199,40.20,immonet
4732.00,182.00,10115,26.00,immonet
998.16,83.18,14979,12.00,immonet
1476.00,123.00,16515,12.00,immonet
707.00,74.38,14776,9.51,immonet
1020.00,68.80,14199,14.83,immonet
815.00,84.00,15537,9.70,immonet
903.00,85.00,13465,10.62,immonet
584.95,72.09,10318,8.11,immonet
1749.00,120.00,12587,14.58,immonet
1700.00,130.00,14109,13.08,immonet
240.00,34.42,15537,6.97,immonet
500.00,24.95,14478,20.04,immonet
1261.50,63.17,10178,19.97,immonet
2150.00,156.00,14482,13.78,immonet
3264.00,167.36,10785,19.50,immonet
1800.00,90.00,10115,20.00,immonet
945.84,67.56,10315,14.00,immonet
1355.00,70.64,10249,19.18,immonet
1520.00,80.00,10555,19.00,immonet
1324.00,60.00,10557,22.07,immonet
852.17,66.90,12527,12.74,immonet
