,Price,Size(m²),Price_per_m²
448,1545.0,82.94,18.63
449,1199.0,58.0,20.67
450,790.0,30.0,26.33
451,950.0,75.0,12.67
452,655.2,60.0,10.92
453,1595.0,89.75,17.77
454,674.0,56.0,12.04
455,859.0,72.33,11.88
456,850.0,45.0,18.89
457,700.0,65.0,10.77
458,472.58,38.05,12.42
459,1615.0,92.37,17.48
460,1203.31,65.72,18.31
461,391.21,53.59,7.3
462,1733.59,95.2,18.21
463,499.0,36.93,13.51
464,1720.0,89.0,19.33
465,1290.0,55.0,23.45
466,880.0,80.0,11.0
467,870.0,80.95,10.75
468,2400.0,107.0,22.43
469,789.5,76.06,10.38
470,1200.0,107.45,11.17
471,895.95,59.73,15.0
472,1477.0,118.17,12.5
473,257.14,34.2,7.52
474,3000.0,150.0,20.0
475,1200.0,62.0,19.35
476,879.0,72.35,12.15
477,799.0,81.43,9.81
478,459.0,39.48,11.63
479,699.24,76.17,9.18
480,539.0,42.0,12.83
481,647.73,47.98,13.5
482,560.0,68.12,8.22
483,1520.0,80.0,19.0
484,598.0,42.69,14.01
485,240.0,34.42,6.97
486,1093.0,119.88,9.12
487,1271.25,84.75,15.0
488,1595.0,89.0,17.92
489,2330.0,116.42,20.01
490,1085.04,60.28,18.0
491,550.0,47.0,11.7
492,1281.55,90.0,14.24
493,2504.74,173.94,14.4
494,390.0,58.0,6.72
495,1100.0,63.0,17.46
496,949.0,89.74,10.57
497,3850.0,209.0,18.42
498,660.0,80.07,8.24
499,862.0,72.33,11.92
500,1246.28,95.03,13.11
501,1840.57,119.44,15.41
502,1650.0,77.0,21.43
503,1399.0,115.02,12.16
504,1400.0,82.0,17.07
505,1094.8,64.4,17.0
506,420.0,57.42,7.31
507,1699.37,95.47,17.8
508,1698.0,150.0,11.32
509,969.0,88.55,10.94
510,1670.0,123.86,13.48
511,982.22,85.54,11.48
512,1660.0,84.0,19.76
513,729.0,70.74,10.31
514,622.0,26.0,23.92
515,1756.0,99.83,17.59
516,640.0,90.8,7.05
517,1355.0,70.64,19.18
518,1121.58,83.08,13.5
519,441.0,62.88,7.01
520,278.12,27.0,10.3
521,1360.0,64.81,20.98
522,562.05,37.47,15.0
523,1571.81,96.43,16.3
524,1980.0,110.0,18.0
525,819.0,67.99,12.05
526,570.0,63.75,8.94
527,2920.0,132.0,22.12
528,680.0,61.96,10.97
529,1160.0,45.0,25.78
530,689.0,54.44,12.66
531,819.0,81.3,10.07
532,505.63,69.36,7.29
533,949.0,88.55,10.72
534,900.0,48.0,18.75
535,700.0,40.0,17.5
536,2104.17,217.0,9.7
537,940.0,67.66,13.89
538,2990.0,130.0,23.0
539,790.0,88.0,8.98
540,1738.0,89.86,19.34
541,1149.0,32.94,34.88
542,915.19,80.99,11.3
543,540.13,24.95,21.65
544,1490.0,77.0,19.35
545,1636.73,95.08,17.21
546,924.03,71.63,12.9
547,740.0,28.0,26.43
548,1843.16,83.78,22.0
549,450.0,62.0,7.26
550,987.0,94.0,10.5
551,2197.0,121.0,18.16
552,1384.0,80.0,17.3
553,589.71,71.48,8.25
554,629.0,54.5,11.54
555,2300.0,111.4,20.65
556,1872.6,124.84,15.0
557,1014.8,76.81,13.21
558,729.0,28.9,25.22
559,1580.67,146.63,10.78
560,1556.88,98.04,15.88
561,1342.0,92.5,14.51
562,2190.0,112.27,19.51
563,610.0,67.78,9.0
564,599.16,54.15,11.06
565,698.29,56.45,12.37
566,1210.0,82.0,14.76
567,1659.67,96.83,17.14
568,1085.04,86.5,12.54
569,1100.0,46.0,23.91
570,1999.0,135.0,14.81
571,250.0,37.0,6.76
572,5309.75,212.39,25.0
573,799.0,76.42,10.46
574,1410.72,90.24,15.63
575,3500.0,143.22,24.44
576,291.21,44.05,6.61
577,999.0,80.59,12.4
578,910.92,79.21,11.5
579,735.84,53.0,13.88
580,1749.0,120.0,14.58
581,390.0,54.74,7.12
582,2000.0,91.0,21.98
583,882.35,121.0,7.29
584,3264.0,167.36,19.5
585,769.0,70.68,10.88
586,3915.0,53.0,73.87
587,2491.0,99.65,25.0
588,1211.08,93.16,13.0
589,3262.0,195.0,16.73
590,1254.32,74.25,16.89
591,280.0,33.99,8.24
592,830.5,75.5,11.0
593,5000.0,200.0,25.0
594,900.0,81.11,11.1
595,1544.0,72.64,21.26
596,777.0,105.0,7.4
597,1424.0,89.0,16.0
598,460.0,67.53,6.81
599,890.0,30.0,29.67
600,1178.85,40.65,29.0
601,960.0,60.0,16.0
602,586.5,69.0,8.5
603,859.92,48.31,17.8
604,2950.0,164.0,17.99
605,800.0,29.0,27.59
606,1393.77,87.11,16.0
607,1049.0,96.44,10.88
608,904.88,73.33,12.34
609,1200.0,120.0,10.0
610,1455.46,84.62,17.2
611,778.5,25.95,30.0
612,557.63,23.75,23.48
613,786.07,30.79,25.53
614,879.0,77.09,11.4
615,739.0,52.62,14.04
616,1100.0,93.61,11.75
617,1250.0,52.08,24.0
618,1653.0,87.0,19.0
619,1360.0,66.69,20.39
620,1750.48,100.66,17.39
621,1648.58,72.47,22.75
622,1040.0,65.48,15.88
623,820.0,23.0,35.65
624,1999.23,101.69,19.66
625,3121.89,143.54,21.75
626,1139.04,81.36,14.0
627,726.51,56.45,12.87
628,1155.0,101.5,11.38
629,500.92,74.36,6.74
630,897.0,66.35,13.52
631,2374.0,172.0,13.8
632,1951.08,111.49,17.5
633,422.0,76.3,5.53
634,1825.0,126.82,14.39
