base_rent,qm,rent_per_qm,rent_per_qm,data_set
479.40,70.00,12109,6.85,immoscout
885.00,98.25,12557,9.01,immoscout
486.76,45.07,10785,10.80,immoscout
842.00,93.50,12557,9.01,immoscout
847.50,75.00,13055,11.30,immoscout
600.00,50.00,13359,12.00,immoscout
580.00,28.00,10624,20.71,immoscout
511.00,37.00,13347,13.81,immoscout
795.00,53.00,13088,15.00,immoscout
1580.00,105.00,13088,15.05,immoscout
1795.00,119.00,13088,15.08,immoscout
1405.00,100.00,13088,14.05,immoscout
1265.00,84.00,13088,15.06,immoscout
1904.00,119.00,13088,16.00,immoscout
1265.00,84.00,13088,15.06,immoscout
1438.00,95.00,13088,15.14,immoscout
1166.00,94.00,12353,12.40,immoscout
960.00,53.00,10963,18.11,immoscout
2168.32,98.56,10119,22.00,immoscout
877.00,46.87,10785,18.71,immoscout
531.72,45.72,12209,11.63,immoscout
1733.40,86.67,10625,20.00,immoscout
950.00,66.00,14197,14.39,immoscout
732.00,79.84,13347,9.17,immoscout
1000.00,98.21,12557,10.18,immoscout
701.37,48.37,12439,14.50,immoscout
1450.00,135.00,12207,10.74,immoscout
500.57,65.18,13125,7.68,immoscout
263.00,34.60,12687,7.60,immoscout
521.00,89.80,12687,5.80,immoscout
457.24,38.79,10245,11.79,immoscout
1190.00,98.00,13409,12.14,immoscout
2850.00,101.00,10629,28.22,immoscout
1160.00,70.00,12587,16.57,immoscout
553.00,55.81,10553,9.91,immoscout
860.00,76.00,13467,11.32,immoscout
1749.00,105.00,10589,16.66,immoscout
604.55,74.36,13125,8.13,immoscout
490.00,68.14,10317,7.19,immoscout
626.00,25.00,10587,25.04,immoscout
460.00,25.55,10587,18.00,immoscout
382.58,53.21,12353,7.19,immoscout
382.58,53.21,12353,7.19,immoscout
550.00,31.00,10435,17.74,immoscout
700.01,59.83,14129,11.70,immoscout
803.40,59.13,12487,13.59,immoscout
255.99,41.49,13403,6.17,immoscout
780.00,40.00,10629,19.50,immoscout
1040.00,42.00,10785,24.76,immoscout
1190.00,50.00,10623,23.80,immoscout
950.00,34.00,10179,27.94,immoscout
426.39,47.69,12689,8.94,immoscout
817.37,77.11,12589,10.60,immoscout
445.00,40.00,12623,11.13,immoscout
1349.00,80.60,13189,16.74,immoscout
525.00,53.00,12203,9.91,immoscout
420.00,39.00,10555,10.77,immoscout
2236.00,86.00,10179,26.00,immoscout
467.30,67.14,12057,6.96,immoscout
858.77,67.62,12527,12.70,immoscout
859.54,67.68,12527,12.70,immoscout
1180.00,97.81,12247,12.06,immoscout
640.46,71.50,13055,8.96,immoscout
600.00,53.41,13187,11.23,immoscout
2850.00,188.00,10827,15.16,immoscout
820.22,50.96,12555,16.10,immoscout
598.00,69.55,13587,8.60,immoscout
1000.00,70.00,10439,14.29,immoscout
666.00,77.42,13587,8.60,immoscout
829.00,92.11,13587,9.00,immoscout
662.00,76.93,13587,8.61,immoscout
1500.00,100.00,13409,15.00,immoscout
850.00,32.00,10713,26.56,immoscout
709.89,55.00,13597,12.91,immoscout
530.00,23.61,10715,22.45,immoscout
1213.00,55.14,12163,22.00,immoscout
1700.00,170.00,13595,10.00,immoscout
649.00,28.81,10585,22.53,immoscout
561.71,59.00,12623,9.52,immoscout
1110.00,63.50,10785,17.48,immoscout
415.00,51.90,10627,8.00,immoscout
887.00,73.88,10437,12.01,immoscout
850.00,61.00,10713,13.93,immoscout
959.00,58.10,13086,16.51,immoscout
1516.62,108.33,13187,14.00,immoscout
1157.00,71.62,10115,16.15,immoscout
1199.52,74.97,10115,16.00,immoscout
1055.52,62.51,10115,16.89,immoscout
1934.76,128.47,10785,15.06,immoscout
3358.63,246.47,10627,13.63,immoscout
1900.00,104.00,10439,18.27,immoscout
1135.00,54.53,10963,20.81,immoscout
368.70,44.93,13355,8.21,immoscout
2064.63,110.00,10117,18.77,immoscout
850.00,42.00,12351,20.24,immoscout
495.00,65.99,13589,7.50,immoscout
