base_rent,qm,plz,street,rent_per_qm,data_set
730,42,10629,Giesebrechtstra&szlig;e,17.38,immoscout
1458.9,78,10623,Grolmanstra&szlig;e,18.70,immoscout
1697,83,10557,Hedwig-Porsch&uuml;tz-Stra&szlig;e,20.45,immoscout
1650,110,14057,no_information,15.00,immoscout
2200,160,13507,Schlieperstr.,13.75,immoscout
1697,83,10557,no_information,20.45,immoscout
1073,32,10557,no_information,33.53,immoscout
947,30,10557,Heidestr.,31.57,immoscout
1348,60,10557,no_information,22.47,immoscout
1697,83,10557,no_information,20.45,immoscout
1084.45,94,12555,Ottomar Geschke Strasse,11.54,immoscout
750,40,10247,niederbarnimstrasse,18.75,immoscout
1550,82,10557,Otto-Weidt-Platz,18.90,immoscout
1230,58,10557,Alexanderpl,21.21,immoscout
1080,55,10247,Jessnerstra&szlig;e,19.64,immoscout
1245,60,10557,Alexanderpl,20.75,immoscout
515.36,63.39,12587,Charlotte-E-Pauly-Stra&szlig;e,8.13,immoscout
1547,67,10179,Stallschreiberstra&szlig;e,23.09,immoscout
1498,82,10557,Alexanderpl 8,18.27,immoscout
595.2,49.6,14199,Hohenzollerndamm,12.00,immoscout
760,29.12,12555,Lindenstra&szlig;e,26.10,immoscout
3099,159.22,14193,Caspar-They&szlig;-Stra&szlig;e,19.46,immoscout
682.99,74.4,13125,Achillesstr.,9.18,immoscout
1300,100,12555,Friedrichshagner Stra&szlig;e,13.00,immoscout
799,36,12555,Lindenstra&szlig;e,22.19,immoscout
847,30,12277,Malteserstra&szlig;e,28.23,immoscout
2900,158.85,14193,Bismarckallee,18.26,immoscout
999,52,12277,Malteserstra&szlig;e,19.21,immoscout
1291,54.61,10317,L&uuml;ckstra&szlig;e,23.64,immoscout
460,19.5,13347,Gerichtstra&szlig;e,23.59,immoscout
614,75,13125,no_information,8.19,immoscout
1500,105,10963,Obentrautstra&szlig;e,14.29,immoscout
2350,90,10245,no_information,26.11,immoscout
2350,90,10245,no_information,26.11,immoscout
2350,90,10245,no_information,26.11,immoscout
1300,47.14,10245,no_information,27.58,immoscout
1300,47.14,10245,no_information,27.58,immoscout
1300,47.14,10245,no_information,27.58,immoscout
746.58,64.72,12359,Blaschkoallee,11.54,immoscout
750,65,13403,Hechelstra&szlig;e,11.54,immoscout
746.58,64.72,12359,Blaschkoallee,11.54,immoscout
325.98,36.22,12687,Ludwig-Renn-Stra&szlig;e,9.00,immoscout
843,62,10779,Kastanienallee,13.60,immoscout
337.66,33.8,12687,Ludwig-Renn-Stra&szlig;e,9.99,immoscout
755.54,75.63,12687,Ludwig-Renn-Stra&szlig;e,9.99,immoscout
337.66,33.8,12687,Ludwig-Renn-Stra&szlig;e,9.99,immoscout
905.28,56.58,13187,no_information,16.00,immoscout
349.97,67.43,12689,Havemannstra&szlig;e,5.19,immoscout
337.66,33.8,12687,Ludwig-Renn-Stra&szlig;e,9.99,immoscout
452.88,74.98,12679,Ludwig-Renn-Stra&szlig;e,6.04,immoscout
482.13,64.37,10627,Krumme Stra&szlig;e,7.49,immoscout
300.66,41.45,13347,Reinickendorfer Stra&szlig;e,7.25,immoscout
2646.13,139.24,10785,Bellevuestr.,19.00,immoscout
1100,91,10317,Eitelstra&szlig;e,12.09,immoscout
800,80,14193,Lynarstra&szlig;e,10.00,immoscout
930,85,12357,no_information,10.94,immoscout
1000,81,10115,Krausnickstra&szlig;e,12.35,immoscout
920,98.5,12459,Edisonstr.,9.34,immoscout
718,73.44,12307,W&uuml;nsdorfer Stra&szlig;e,9.78,immoscout
1300,70,10179,Wallstr.,18.57,immoscout
620,12,10557,Klara Franke Stra&szlig;e,51.67,immoscout
964.98,66,12051,Delbr&uuml;ckstra&szlig;e,14.62,immoscout
495,65,14089,Hersbrucker Weg,7.62,immoscout
1392,92,12051,Delbr&uuml;ckstra&szlig;e,15.13,immoscout
930,65,10707,Z&auml;hringerstra&szlig;e,14.31,immoscout
